,movie_id,actor,design,happy,music,plot,thrill,touched,vision
197,tt0112817,-0.82,0.0,1.92,0.69,0.5,-0.73,-0.45,1.75
198,tt0113670,0.0,1.33,0.0,0.0,-0.77,0.0,1.27,0.93
199,tt0114388,1.8,3.19,0.0,1.96,5.75,0.18,4.87,1.72
200,tt0117381,5.38,0.0,0.38,0.0,2.11,5.13,0.78,2.71
201,tt0117631,1.02,0.0,-0.32,-0.2,1.68,0.85,0.27,1.68
202,tt0118929,0.61,0.0,1.6,0.0,2.37,0.0,0.0,3.82
203,tt0119038,3.16,0.0,9.42,0.0,2.01,0.0,0.98,0.36
204,tt0119116,0.93,0.07,6.49,1.75,-0.07,-0.1,0.92,2.68
205,tt0119822,2.13,0.0,2.62,0.62,4.98,0.0,6.12,0.98
206,tt0120669,-0.39,0.0,1.99,0.34,-0.36,-1.29,0.0,1.64
207,tt0120802,0.04,0.83,0.0,7.07,0.03,0.29,0.67,2.47
208,tt0128445,0.74,0.0,2.96,0.71,3.24,0.0,1.27,1.21
209,tt0130827,1.03,0.0,1.49,4.08,0.58,0.65,0.49,0.22
210,tt0139654,2.3,0.93,0.0,1.33,0.83,1.73,0.0,0.48
211,tt0165832,0.93,0.0,1.83,0.0,1.33,-0.1,0.0,0.0
212,tt0181689,0.95,0.0,0.0,0.64,0.51,-0.36,0.0,4.34
213,tt0216651,0.0,0.0,0.97,1.56,3.75,-1.67,1.52,1.48
214,tt0245574,0.28,0.0,2.43,-0.33,0.6,1.04,0.91,1.63
215,tt0249462,1.32,0.0,2.21,5.59,3.43,0.0,2.7,1.7
216,tt0250258,0.74,0.0,0.0,0.32,0.65,-1.82,0.0,-0.21
217,tt0257044,3.65,0.0,0.0,5.74,0.77,0.0,0.25,9.32
218,tt0265086,-0.37,0.0,0.0,0.0,0.35,-2.16,-1.23,-1.67
219,tt0266308,0.9,0.0,-0.56,0.48,-0.16,-3.94,-1.5,0.74
220,tt0268126,0.42,0.0,1.23,0.0,3.74,0.24,-0.54,0.96
221,tt0289879,-0.46,0.0,0.0,0.19,4.18,-0.31,0.45,0.32
222,tt0301357,0.0,0.0,3.24,0.0,3.5,0.0,0.0,2.26
223,tt0307901,1.55,0.0,0.0,1.08,2.81,0.0,0.0,3.47
224,tt0308644,6.27,0.0,0.78,0.95,0.0,0.0,3.01,1.82
225,tt0310775,-0.13,0.0,0.25,-0.82,0.6,-1.47,0.0,1.28
226,tt0315733,3.26,0.0,0.74,0.0,1.78,-1.21,1.26,0.42
227,tt0325710,1.88,1.72,0.0,1.84,0.87,0.54,1.76,4.65
228,tt0327597,0.45,0.0,1.58,0.88,2.68,-0.69,0.0,9.72
229,tt0328107,2.16,0.81,0.0,0.21,3.25,-0.38,0.14,1.13
230,tt0330373,0.93,0.12,1.09,0.88,-0.77,-2.13,0.79,0.06
231,tt0338135,0.77,0.0,0.33,0.39,0.88,-0.54,0.76,1.31
232,tt0340377,1.56,0.0,1.58,2.45,1.78,0.0,2.37,1.33
233,tt0344510,0.85,-0.48,1.05,0.68,0.27,1.83,0.07,3.95
234,tt0350258,0.17,0.0,0.0,13.42,0.0,-0.47,0.2,3.68
235,tt0361862,-0.49,0.0,0.0,0.0,-0.31,-0.88,0.0,0.38
236,tt0364517,0.76,0.0,2.62,-0.08,2.7,-0.31,1.86,0.82
237,tt0370986,3.18,0.0,0.58,1.36,2.47,-1.51,4.53,0.09
238,tt0381849,2.38,0.0,0.81,0.81,1.89,0.0,-1.0,0.04
239,tt0388795,1.69,0.0,0.36,0.82,0.0,-0.95,1.51,2.46
240,tt0416449,1.14,0.0,0.0,0.61,0.91,0.0,-0.2,2.34
241,tt0419677,0.16,0.0,0.6,0.42,0.85,0.52,-0.76,-2.2
242,tt0421082,0.0,0.0,0.0,5.01,0.0,-0.18,0.0,15.51
243,tt0443706,0.8,0.0,0.12,-0.81,-0.14,-0.93,-0.87,5.03
244,tt0446059,2.15,-0.51,0.0,4.21,3.94,-0.36,1.29,4.23
245,tt0452623,2.25,0.0,0.74,0.74,1.49,0.62,0.0,0.54
246,tt0455590,-1.17,0.0,0.0,0.67,0.0,0.95,0.0,1.07
247,tt0470752,1.48,0.0,0.0,1.34,0.68,1.45,0.0,1.53
248,tt0480025,0.49,0.26,1.69,2.18,-0.29,0.0,-0.9,1.3
249,tt0485601,1.35,0.0,0.49,4.8,-0.55,0.0,0.23,2.7
250,tt0486655,1.68,-0.63,7.8,1.64,1.05,0.56,3.58,2.43
251,tt0765443,0.32,0.0,0.0,0.78,-0.95,-1.4,0.0,-0.7
252,tt0817177,0.68,0.0,2.46,0.21,2.65,0.0,1.25,0.0
253,tt0851578,0.3,0.0,0.56,1.56,1.22,1.65,0.8,0.66
254,tt0857191,0.17,0.0,0.3,1.85,0.0,-0.36,-0.39,0.0
255,tt0870111,1.21,0.0,0.0,0.54,2.33,-0.67,0.0,2.72
256,tt0876563,0.0,0.0,0.45,4.71,0.19,1.75,0.96,1.74
257,tt0878804,2.23,0.67,0.59,0.51,-0.99,-1.04,2.08,2.52
258,tt0926084,1.19,0.0,0.78,0.17,1.03,0.0,0.0,0.34
259,tt0983213,0.0,0.0,0.0,4.37,1.39,0.0,1.36,1.06
260,tt1022603,0.38,0.38,3.47,1.63,1.84,0.14,1.7,0.96
261,tt1024648,2.19,0.0,0.8,0.81,-0.06,0.53,0.82,0.99
262,tt1045658,-0.52,0.0,2.8,0.0,-0.39,0.0,0.87,-0.42
263,tt1119646,0.97,0.0,8.4,0.0,2.72,0.31,0.0,0.42
264,tt1156398,0.0,0.0,3.26,0.0,1.47,-2.26,0.0,1.71
265,tt1213641,2.64,0.0,0.75,-0.13,0.94,0.0,-0.04,-0.26
266,tt1242422,3.96,0.0,0.0,0.0,3.41,0.86,0.0,0.0
267,tt1270798,1.28,1.28,2.44,0.0,1.37,2.44,0.0,2.43
268,tt1285016,1.38,0.0,0.0,0.01,0.42,-0.54,0.0,-1.39
269,tt1306980,0.81,0.0,4.16,0.9,-0.92,0.0,0.25,-0.36
270,tt1323594,0.75,0.0,1.97,1.53,0.61,0.0,0.68,0.6
271,tt1408101,0.0,0.0,0.0,0.0,-0.36,-0.94,-0.08,-1.79
